               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.036822,           0.0048735,           0.0051904,             0.59917,             0.55287,             0.56683,             0.28327,            0.041229,           0.0028986,           0.0083733,            0.001684,            0.001684,            0.001684
                  86,            0.036823,           0.0048726,           0.0050489,             0.59849,             0.55265,             0.56697,             0.28377,            0.041212,           0.0028974,           0.0083859,            0.001585,            0.001585,            0.001585
                  87,             0.03671,            0.004818,           0.0048643,             0.60064,             0.55333,             0.56769,             0.28431,            0.041198,           0.0028961,           0.0084041,            0.001486,            0.001486,            0.001486
                  88,            0.036431,           0.0048438,           0.0046562,             0.60007,             0.55571,               0.568,              0.2848,            0.041184,           0.0028949,           0.0084222,            0.001387,            0.001387,            0.001387
                  89,            0.036091,           0.0048102,             0.00471,             0.60137,              0.5545,             0.56834,             0.28507,            0.041171,           0.0028937,           0.0084413,            0.001288,            0.001288,            0.001288
                  90,            0.035898,           0.0047914,           0.0046523,             0.60348,             0.55395,             0.56879,             0.28571,            0.041157,           0.0028929,           0.0084651,            0.001189,            0.001189,            0.001189
                  91,            0.035811,           0.0047849,           0.0046476,             0.60263,             0.55488,             0.56979,             0.28628,            0.041148,           0.0028918,           0.0084857,             0.00109,             0.00109,             0.00109
                  92,            0.035707,           0.0047768,           0.0044647,              0.6066,             0.55218,             0.57039,             0.28684,            0.041138,           0.0028908,           0.0085097,            0.000991,            0.000991,            0.000991
                  93,            0.035346,            0.004684,           0.0042613,             0.60874,             0.55302,             0.57127,             0.28709,            0.041132,           0.0028898,           0.0085359,            0.000892,            0.000892,            0.000892
                  94,            0.035129,           0.0047404,           0.0041482,             0.60751,             0.55447,             0.57153,             0.28752,            0.041124,           0.0028893,           0.0085624,            0.000793,            0.000793,            0.000793
                  95,            0.034906,           0.0046871,            0.004199,             0.60619,              0.5564,             0.57139,             0.28758,            0.041117,           0.0028885,           0.0085927,            0.000694,            0.000694,            0.000694
                  96,             0.03521,           0.0046967,           0.0044079,             0.60681,             0.55558,             0.57235,             0.28819,             0.04111,           0.0028878,           0.0086202,            0.000595,            0.000595,            0.000595
                  97,            0.034992,           0.0047063,           0.0041705,             0.60907,              0.5567,             0.57325,             0.28882,            0.041104,           0.0028872,           0.0086517,            0.000496,            0.000496,            0.000496
                  98,            0.034711,           0.0047208,           0.0041326,             0.60958,             0.55559,             0.57366,             0.28917,            0.041101,           0.0028863,           0.0086863,            0.000397,            0.000397,            0.000397
                  99,            0.034614,           0.0046694,           0.0041523,             0.61085,             0.55689,             0.57383,             0.28941,            0.041099,           0.0028855,           0.0087194,            0.000298,            0.000298,            0.000298
