               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.038905,            0.015499,           0.0075208,             0.79158,             0.34614,             0.34513,             0.15402,            0.039177,            0.010139,           0.0059797,            0.005446,            0.005446,            0.005446
                  48,            0.038577,            0.015747,            0.006997,             0.77287,              0.3357,             0.34839,             0.15065,            0.039817,            0.010249,           0.0063922,            0.005347,            0.005347,            0.005347
                  49,            0.038459,            0.015787,           0.0068311,             0.76447,             0.33862,             0.34122,              0.1526,            0.040402,            0.010278,           0.0060625,            0.005248,            0.005248,            0.005248
                  50,            0.038471,            0.016064,           0.0071554,              0.7842,             0.33378,             0.34968,             0.15437,            0.038621,            0.010211,           0.0063986,            0.005149,            0.005149,            0.005149
                  51,            0.037709,            0.015944,           0.0068533,             0.77732,              0.3598,               0.344,             0.15872,            0.039367,            0.010337,           0.0060201,             0.00505,             0.00505,             0.00505
                  52,            0.038058,            0.015903,           0.0075103,              0.7935,             0.34539,             0.35467,             0.16814,            0.038827,            0.010181,           0.0060145,            0.004951,            0.004951,            0.004951
                  53,            0.037706,            0.015558,           0.0066034,             0.77542,              0.3472,             0.36102,               0.169,            0.038603,            0.010171,           0.0060914,            0.004852,            0.004852,            0.004852
                  54,            0.037219,            0.015755,           0.0068537,             0.80635,             0.36119,             0.37316,             0.16897,            0.038489,             0.01007,           0.0058308,            0.004753,            0.004753,            0.004753
                  55,            0.037375,            0.015071,            0.007032,             0.77944,             0.35669,             0.36638,             0.16982,            0.038536,            0.010065,            0.006292,            0.004654,            0.004654,            0.004654
                  56,            0.036728,            0.015401,           0.0069331,             0.80444,             0.37615,             0.36729,             0.16924,            0.037877,            0.010014,           0.0061914,            0.004555,            0.004555,            0.004555
                  57,            0.037247,            0.016017,           0.0069906,             0.78845,             0.34426,             0.35287,             0.16163,            0.038055,            0.010066,           0.0063599,            0.004456,            0.004456,            0.004456
                  58,            0.036933,            0.015193,           0.0065753,             0.76498,             0.37211,               0.367,              0.1705,            0.038082,            0.010158,           0.0061061,            0.004357,            0.004357,            0.004357
